universityLabel,univlocationLabel,countryNameLabel,personLabel,pbornLabel,borncountryLabel,organizationLabel,orglocationLabel,orgcountryLabel,yearFounded
Uppsala University,Uppsala,Sweden,Fredrik Ferdinand Carlson,Alsike parish,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Lund University,Lund,Sweden,Martin P. Nilsson,Q10680407,Sweden,Lund University,Lund Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Johnny Roosval,Kalmar domkyrkoförsamling,Sweden,Stockholm University,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Lennart Carleson,Stockholm,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Lund University,Lund,Sweden,Gottfrid Billing,Önnestad parish,Sweden,Lund University,Lund Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Carl Jonas Love Almqvist,Adolf Fredriks parish,Sweden,Nya Elementar,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Ingemar Hedenius,Stockholm,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Göran Liljestrand,Masthuggs församling,Sweden,Karolinska Institute,Solna Municipality,Sweden,1810
Uppsala University,Uppsala,Sweden,Oskar Backlund,Länghem,Sweden,Pulkovo Observatory,Pulkovo Mountain,Russia,1477
Uppsala University,Uppsala,Sweden,Lennart Carleson,Stockholm,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Carl August Hagberg,Lund,Sweden,Lund University,Lund Municipality,Sweden,1477
Stockholm University,Stockholm,Sweden,Göran Liljestrand,Masthuggs församling,Sweden,Karolinska Institute,Solna Municipality,Sweden,1878
Uppsala University,Uppsala,Sweden,Oskar Backlund,Länghem,Sweden,Pulkovo Observatory,Saint Petersburg,Russia,1477
Lund University,Lund,Sweden,Johannes Rydberg,Halmstad,Sweden,Lund University,Lund Municipality,Sweden,1666
Stockholm University,Stockholm,Sweden,Christer Fuglesang,Nacka,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1878
Stockholm University,Stockholm,Sweden,Daniel Birnbaum,Stockholm,Sweden,Städelschule,Frankfurt am Main,Germany,1878
Uppsala University,Uppsala,Sweden,Östen Undén,Karlstad,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Gunnar Asplund,Stockholm,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1827
Lund University,Lund,Sweden,Östen Undén,Karlstad,Sweden,Uppsala University,Uppsala Municipality,Sweden,1666
Karolinska Institute,Stockholm,Sweden,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute,Solna Municipality,Sweden,1810
Stockholm University,Stockholm,Sweden,Torsten Persson,Stockholm,Sweden,Stockholm University,Stockholm Municipality,Sweden,1878
Stockholm University,Stockholm,Sweden,Sune Bergström,Kungsholms parish,Sweden,Lund University,Lund Municipality,Sweden,1878
Karolinska Institute,Stockholm,Sweden,Ivar Wickman,Lunds Cathedral Assembly,Sweden,Karolinska Institute,Solna Municipality,Sweden,1810
Uppsala University,Uppsala,Sweden,Johnny Roosval,Kalmar domkyrkoförsamling,Sweden,Nordic Museum,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Frans Michael Franzén,Oulu,Finland,Royal Academy of Turku,Turku,Finland,1477
Lund University,Lund,Sweden,Lars Hörmander,Mjällby,Sweden,Lund University,Lund Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Håkan Lans,Enskede-Årsta-Vantör city district,Sweden,Stockholm University,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Erik Edlund,Edsbergs parish,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Gösta Mittag-Leffler,Klara Parish,Sweden,Stockholm University,Stockholm Municipality,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Christer Fuglesang,Nacka,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1827
Uppsala University,Uppsala,Sweden,Sigfridus Aronus Forsius,Finland,Finland,Uppsala University,Uppsala Municipality,Sweden,1477
Lund University,Lund,Sweden,Arvid Carlsson,Uppsala,Sweden,University of Gothenburg,Gothenburg Municipality,Sweden,1666
Stockholm University,Stockholm,Sweden,Helge von Koch,Stockholm,Sweden,Stockholm University,Stockholm Municipality,Sweden,1878
Lund University,Lund,Sweden,Bengt I. Samuelsson,Halmstad,Sweden,Karolinska Institute,Solna Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Bertil Lindblad,Örebro,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute,Solna Municipality,Sweden,1827
Uppsala University,Uppsala,Sweden,Einar Billing,Lunds Cathedral Assembly,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Uppsala University,Uppsala,Sweden,Hugo Alfvén,Stockholm,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Lund University,Lund,Sweden,Örjan Wikander,Helsingborg,Sweden,Lund University,Lund Municipality,Sweden,1666
Lund University,Lund,Sweden,Lars Hörmander,Mjällby,Sweden,Stockholm University,Stockholm Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Helge von Koch,Stockholm,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1477
Lund University,Lund,Sweden,Frans Gustaf Emanuel Walberg,Lund,Sweden,Lund University,Lund Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Olaus Rudbeck,Q10718088,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Peter Celsing,Stockholm,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1827
Lund University,Lund,Sweden,K. G. Hammar,Hässleholm,Sweden,Lund University,Lund Municipality,Sweden,1666
Lund University,Lund,Sweden,Carl Adolph Agardh,Båstads parish,Sweden,Lund University,Lund Municipality,Sweden,1666
Lund University,Lund,Sweden,Arvid Carlsson,Uppsala,Sweden,Lund University,Lund Municipality,Sweden,1666
Uppsala University,Uppsala,Sweden,Karl Gustav Jöreskog,Åmål,Sweden,Uppsala University,Uppsala Municipality,Sweden,1477
Stockholm University,Stockholm,Sweden,Per Enflo,Stockholm,Sweden,Royal Institute of Technology,Stockholm Municipality,Sweden,1878
Uppsala University,Uppsala,Sweden,Östen Undén,Karlstad,Sweden,Lund University,Lund Municipality,Sweden,1477
Lund University,Lund,Sweden,Östen Undén,Karlstad,Sweden,Lund University,Lund Municipality,Sweden,1666
Lund University,Lund,Sweden,Torsten Hägerstrand,Alvesta Municipality,Sweden,Lund University,Lund Municipality,Sweden,1666
